theta,v_max_label,v_max,cumulative_return,annual_return,sharpe,max_drawdown,hit_ratio,exposure,trades,sharpe_same_close,buy_signals
0.05,none,inf,0.06934338279892027,0.03429820354210156,0.26081131025565196,-0.3094779663128089,0.514,0.998003992015968,1,0.3035908630254487,367
0.1,none,inf,0.0,0.0,,0.0,,0.0,0,,0
0.15,none,inf,0.0,0.0,,0.0,,0.0,0,,0
0.2,none,inf,0.0,0.0,,0.0,,0.0,0,,0
0.05,P75,0.018839601858567756,0.06934338279892027,0.03429820354210156,0.26081131025565196,-0.3094779663128089,0.514,0.998003992015968,1,0.3035908630254487,327
0.1,P75,0.018839601858567756,0.0,0.0,,0.0,,0.0,0,,0
0.15,P75,0.018839601858567756,0.0,0.0,,0.0,,0.0,0,,0
0.2,P75,0.018839601858567756,0.0,0.0,,0.0,,0.0,0,,0
0.05,P90,0.023552315993035627,0.06934338279892027,0.03429820354210156,0.26081131025565196,-0.3094779663128089,0.514,0.998003992015968,1,0.3035908630254487,367
0.1,P90,0.023552315993035627,0.0,0.0,,0.0,,0.0,0,,0
0.15,P90,0.023552315993035627,0.0,0.0,,0.0,,0.0,0,,0
0.2,P90,0.023552315993035627,0.0,0.0,,0.0,,0.0,0,,0
