theta,v_max_label,v_max,cumulative_return,annual_return,sharpe,max_drawdown,hit_ratio,exposure,trades,sharpe_same_close,buy_signals
0.05,none,inf,-0.16037262787245432,-0.08416759009832642,-0.29802757989329187,-0.31962088660846166,0.4969512195121951,0.654690618762475,247,-0.1932030137167426,223
0.1,none,inf,0.15698575544849702,0.07610242690696745,0.43682206333799595,-0.2770598344201399,0.5347043701799485,0.7764471057884231,135,0.09592968265270699,146
0.15,none,inf,-0.041914264339290686,-0.02130693345878143,0.020672633873782074,-0.32876425893657024,0.5233415233415234,0.812375249500998,63,-0.007737106699410102,87
0.2,none,inf,-0.11911442068847444,-0.06180127480658637,-0.1647867872535732,-0.34033988783655855,0.5054347826086957,0.7345309381237525,19,0.04668353215228133,34
0.05,P75,0.017179078769559035,-0.2463964367807009,-0.1326315196073049,-0.8038299739577075,-0.3665102559625659,0.5,0.4630738522954092,165,-0.14229675791019575,149
0.1,P75,0.017179078769559035,-0.016231533226918726,-0.008197565137223362,0.036384305633006236,-0.26103940382337376,0.5531135531135531,0.5449101796407185,95,0.06810469374257702,89
0.15,P75,0.017179078769559035,0.005432740940667369,0.002728956927240178,0.10800858438171543,-0.334129340390824,0.5454545454545454,0.6147704590818364,49,0.11626966233204292,56
0.2,P75,0.017179078769559035,0.000541182348803293,0.00027217488223896247,0.10124999729414036,-0.3043304875681855,0.5273311897106109,0.6207584830339321,13,0.17810038098972805,20
0.05,P90,0.02350992355714008,-0.27111582165767856,-0.1470608292580886,-0.6774415317836815,-0.38728971821933167,0.4854368932038835,0.6167664670658682,235,-0.5369127926296828,210
0.1,P90,0.02350992355714008,0.003414135829077569,0.0017158353668464965,0.11645711721017517,-0.3372674773139991,0.5286103542234333,0.7325349301397206,131,-0.19413862090694411,137
0.15,P90,0.02350992355714008,-0.08437434146441358,-0.04336919814637252,-0.08920486931017212,-0.38207821902396244,0.5249343832020997,0.7604790419161677,59,-0.022855541623319396,82
0.2,P90,0.02350992355714008,-0.10460164122335414,-0.0540580554071578,-0.12926580134281654,-0.34033988783655855,0.5068119891008175,0.7325349301397206,17,0.05475108138574783,31
